Sample,Reference Contig,NCBI Accession,Organism,TASS Score,TaxTriage Run Date,Ref Size,Mapped Reads,ANIr,% Reads Aligned,Average Read Length,Average MAPQ,Alignment Quality (Evalue),Positions Mapped,% Breadth Coverage,Mean Depth,Depth Stdev,Depth Evenness (Gini),date_collected,country,state
positive_control_5,ENA|HM773207|HM773207.1,GCA_038239675.1,Influenza A virus,97.129,12/24/25,2280,1,100,4.545454545454546,2126,60,2.075e-08,2126,93.2456,1,0,1,5/12/24,USA,Florida
positive_control_5,ENA|HM773208|HM773208.1,GCA_038239675.1,Influenza A virus,97.57,12/24/25,2274,1,100,4.545454545454546,2144,60,2.093e-08,2144,94.2832,1,0,1,5/12/24,USA,Florida
positive_control_5,ENA|HM773209|HM773209.1,GCA_038239675.1,Influenza A virus,97.412,12/24/25,2151,1,100,4.545454545454546,2020,60,1.972e-08,2020,93.9098,1,0,1,5/12/24,USA,Florida
positive_control_5,ENA|HM773210|HM773210.1,GCA_038239675.1,Influenza A virus,96.452,12/24/25,1701,1,100,4.545454545454546,1559,60,1.522e-08,1559,91.652,1,0,1,5/12/24,USA,Florida
positive_control_5,ENA|HM773211|HM773211.1,GCA_038239675.1,Influenza A virus,96.334975,12/24/25,1497,1,99.927,4.545454545454546,1369,60,1.336e-08,1369,91.4496,1,0,1,5/12/24,USA,Florida
positive_control_5,ENA|HM773212|HM773212.1,GCA_038239675.1,Influenza A virus,95.78,12/24/25,1410,1,100,4.545454545454546,1270,60,1.24e-08,1270,90.0709,1,0,1,5/12/24,USA,Florida
positive_control_4,ENA|HM773207|HM773207.1,GCA_038239675.1,Influenza A virus,97.129,12/24/25,2280,1,100,10,2126,60,2.075e-08,2126,93.2456,1,0,1,4/5/24,USA,New York
positive_control_4,ENA|HM773208|HM773208.1,GCA_038239675.1,Influenza A virus,97.57,12/24/25,2274,1,100,10,2144,60,2.093e-08,2144,94.2832,1,0,1,4/5/24,USA,New York
positive_control_4,ENA|HM773209|HM773209.1,GCA_038239675.1,Influenza A virus,97.412,12/24/25,2151,1,100,10,2020,60,1.972e-08,2020,93.9098,1,0,1,4/5/24,USA,New York
positive_control_4,ENA|HM773210|HM773210.1,GCA_038239675.1,Influenza A virus,96.452,12/24/25,1701,1,100,10,1559,60,1.522e-08,1559,91.652,1,0,1,4/5/24,USA,New York
positive_control_4,ENA|HM773211|HM773211.1,GCA_038239675.1,Influenza A virus,96.334975,12/24/25,1497,1,99.927,10,1369,60,1.336e-08,1369,91.4496,1,0,1,4/5/24,USA,New York
positive_control_4,ENA|HM773212|HM773212.1,GCA_038239675.1,Influenza A virus,95.78,12/24/25,1410,1,100,10,1270,60,1.24e-08,1270,90.0709,1,0,1,4/5/24,USA,New York
positive_control_3,ENA|HM773207|HM773207.1,GCA_038239675.1,Influenza A virus,97.129,12/24/25,2280,1,100,9.090909090909092,2126,60,2.075e-08,2126,93.2456,1,0,1,3/10/24,USA,Texas
positive_control_3,ENA|HM773208|HM773208.1,GCA_038239675.1,Influenza A virus,97.57,12/24/25,2274,1,100,9.090909090909092,2144,60,2.093e-08,2144,94.2832,1,0,1,3/10/24,USA,Texas
positive_control_3,ENA|HM773209|HM773209.1,GCA_038239675.1,Influenza A virus,97.412,12/24/25,2151,1,100,9.090909090909092,2020,60,1.972e-08,2020,93.9098,1,0,1,3/10/24,USA,Texas
positive_control_3,ENA|HM773210|HM773210.1,GCA_038239675.1,Influenza A virus,96.452,12/24/25,1701,1,100,9.090909090909092,1559,60,1.522e-08,1559,91.652,1,0,1,3/10/24,USA,Texas
positive_control_3,ENA|HM773211|HM773211.1,GCA_038239675.1,Influenza A virus,96.334975,12/24/25,1497,1,99.927,9.090909090909092,1369,60,1.336e-08,1369,91.4496,1,0,1,3/10/24,USA,Texas
positive_control_3,ENA|HM773212|HM773212.1,GCA_038239675.1,Influenza A virus,95.78,12/24/25,1410,1,100,9.090909090909092,1270,60,1.24e-08,1270,90.0709,1,0,1,3/10/24,USA,Texas
positive_control_2,ENA|HM773207|HM773207.1,GCA_038239675.1,Influenza A virus,97.726,12/24/25,2280,1,100,16.666666666666664,2158,60,2.107e-08,2158,94.6491,1,0,1,2/20/24,USA,California
positive_control_2,ENA|HM773208|HM773208.1,GCA_038239675.1,Influenza A virus,98.168,12/24/25,2274,1,100,16.666666666666664,2176,60,2.124e-08,2176,95.6904,1,0,1,2/20/24,USA,California
positive_control_2,ENA|HM773209|HM773209.1,GCA_038239675.1,Influenza A virus,98.044,12/24/25,2151,1,100,16.666666666666664,2052,60,2.003e-08,2052,95.3975,1,0,1,2/20/24,USA,California
positive_control_2,ENA|HM773210|HM773210.1,GCA_038239675.1,Influenza A virus,97.252,12/24/25,1701,1,100,16.666666666666664,1591,60,1.553e-08,1591,93.5332,1,0,1,2/20/24,USA,California
positive_control_2,ENA|HM773211|HM773211.1,GCA_038239675.1,Influenza A virus,97.244825,12/24/25,1497,1,99.929,16.666666666666664,1401,60,1.368e-08,1401,93.5872,1,0,1,2/20/24,USA,California
positive_control_2,ENA|HM773212|HM773212.1,GCA_038239675.1,Influenza A virus,96.745,12/24/25,1410,1,100,16.666666666666664,1302,60,1.271e-08,1302,92.3404,1,0,1,2/20/24,USA,California
positive_control_1,ENA|HM773207|HM773207.1,GCA_038239675.1,Influenza A virus,97.838,12/24/25,2280,1,100,16.666666666666664,2164,60,2.112e-08,2164,94.9123,1,0,1,1/15/24,USA,Georgia
positive_control_1,ENA|HM773208|HM773208.1,GCA_038239675.1,Influenza A virus,98.281,12/24/25,2274,1,100,16.666666666666664,2182,60,2.13e-08,2182,95.9543,1,0,1,1/15/24,USA,Georgia
positive_control_1,ENA|HM773209|HM773209.1,GCA_038239675.1,Influenza A virus,98.162,12/24/25,2151,1,100,16.666666666666664,2058,60,2.009e-08,2058,95.6764,1,0,1,1/15/24,USA,Georgia
positive_control_1,ENA|HM773210|HM773210.1,GCA_038239675.1,Influenza A virus,97.402,12/24/25,1701,1,100,16.666666666666664,1597,60,1.559e-08,1597,93.8859,1,0,1,1/15/24,USA,Georgia
positive_control_1,ENA|HM773211|HM773211.1,GCA_038239675.1,Influenza A virus,97.445,12/24/25,1497,1,100,16.666666666666664,1407,60,1.373e-08,1407,93.988,1,0,1,1/15/24,USA,Georgia
positive_control_1,ENA|HM773212|HM773212.1,GCA_038239675.1,Influenza A virus,96.926,12/24/25,1410,1,100,16.666666666666664,1308,60,1.277e-08,1308,92.766,1,0,1,1/15/24,USA,Georgia
